replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
6,6,coordinated,Coordinated,115.399685601392,263.504275607985,263.97433811082,0.470062502834878,1704.2770394992,4648
6,6,delayed_coordination,Delayed Coordination,123.250539658337,239.603955096579,232.133079307703,-7.47087578887516,1576.5849661688,4880
7,7,baseline,Baseline,125.190753686278,313.241083983099,350.572159383968,37.3310754008695,2200.6463066579,2861
7,7,early_mover,Early Mover,123.684045403862,246.784573790224,233.054921815647,-13.7296519745777,1579.63956871199,5028
7,7,sequential,Sequential,120.87885313584,237.088938577919,229.575351228124,-7.5135873497953,1521.68368666912,5012
7,7,coordinated,Coordinated,120.304788881182,239.178867270945,226.726966100756,-12.4519011701891,1523.35684452428,5013
7,7,delayed_coordination,Delayed Coordination,119.819263009835,243.829215875599,223.666393212979,-20.1628226626197,1538.21570616957,5029
8,8,baseline,Baseline,125.245959682002,333.143988606944,339.354888906154,6.21090029920987,2268.25310937299,2911
8,8,early_mover,Early Mover,120.834337327938,238.10389646501,233.013525215824,-5.09037124918586,1560.14788542524,5130
8,8,sequential,Sequential,118.248170315656,235.974348518491,233.729214994698,-2.24513352379336,1531.15507564673,5083
8,8,coordinated,Coordinated,118.537642777963,227.387320652565,237.114377108641,9.72705645607593,1511.65107207032,5052
8,8,delayed_coordination,Delayed Coordination,118.310494728948,233.319551946239,222.048274070707,-11.2712778755321,1531.4516106633,5150
9,9,baseline,Baseline,127.99074617512,330.428575696783,344.612310992012,14.183735295229,2318.44593013309,2795
9,9,early_mover,Early Mover,126.359655297267,233.96132132355,230.638000207459,-3.32332111609057,1630.88068472619,4715
9,9,sequential,Sequential,122.315857851758,231.540831309036,230.109119491805,-1.43171181723156,1601.44591321614,4661
9,9,coordinated,Coordinated,118.164185300485,247.325460257382,244.04153197988,-3.28392827750221,1684.3588718152,4606
9,9,delayed_coordination,Delayed Coordination,120.897052226849,238.682612841184,229.359168253789,-9.32344458739453,1625.40217919759,4598
10,10,baseline,Baseline,125.464422229636,326.212289056639,346.288922400989,20.0766333443505,2330.83421171135,2510
10,10,early_mover,Early Mover,116.552661684733,243.439200802321,261.204616803669,17.7654160013482,1798.55631215155,3898
10,10,sequential,Sequential,112.846813962261,255.4656371221,262.675102814121,7.20946569202056,1752.91035908242,3855
10,10,coordinated,Coordinated,115.14925062672,241.535838676811,256.943938600378,15.4080999235663,1750.31717571919,4192
10,10,delayed_coordination,Delayed Coordination,114.35920393099,242.705135258404,258.016603091616,15.3114678332117,1749.30788350355,4044
11,11,baseline,Baseline,125.751273841672,328.268827405729,354.372820897818,26.1039934920887,2322.5751188945,2783
11,11,early_mover,Early Mover,116.467496794527,242.820164295734,271.24044423628,28.4202799405458,1761.62085355682,4566
11,11,sequential,Sequential,114.596610701217,237.786676058666,252.747567060186,14.9608910015199,1745.85469162884,4556
11,11,coordinated,Coordinated,116.165293164709,237.184561671278,266.803920429923,29.6193587586451,1747.52830280841,4708
11,11,delayed_coordination,Delayed Coordination,114.678741131476,239.354186086795,256.218689551725,16.8645034649301,1727.43716606597,4593
