replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
16,16,8,baseline,Baseline,123.505905201207,341.83270383297,2427.7869672702,115,2131,596,1535
16,16,8,early_mover,Early Mover,108.430908944771,275.707388448356,1975.86844484382,202,3198,1059,2139
16,16,8,sequential,Sequential,105.501208022847,269.598293280208,1975.45864082442,176,3077,1038,2039
16,16,8,coordinated,Coordinated,101.19432485556,279.428242960056,2062.78442043403,176,2886,980,1906
16,16,8,delayed_coordination,Delayed Coordination,103.950483135436,269.188446125093,1986.18766856748,198,3128,1077,2051
17,17,2,baseline,Baseline,122.891989711205,379.861150923712,2537.17573749099,109,2226,438,1788
17,17,2,early_mover,Early Mover,129.9323912179,247.017490116298,1651.43021278237,288,4981,902,4079
17,17,2,sequential,Sequential,131.636461362605,235.043129176075,1547.86802292204,320,5128,995,4133
17,17,2,coordinated,Coordinated,132.829552154216,228.88408310002,1537.46426755145,310,5051,1064,3987
17,17,2,delayed_coordination,Delayed Coordination,130.219161087727,234.770973491231,1551.47361410479,302,5075,969,4106
17,17,4,baseline,Baseline,121.114785143167,383.40364612281,2576.56413544104,100,2086,398,1688
17,17,4,early_mover,Early Mover,120.640135458793,267.47349203927,1791.88962290524,248,4497,1077,3420
17,17,4,sequential,Sequential,118.943168618327,259.494317003325,1698.52372284901,269,4543,1191,3352
17,17,4,coordinated,Coordinated,116.560892408434,251.779193379,1763.27997962853,256,4362,1112,3250
17,17,4,delayed_coordination,Delayed Coordination,119.909318794966,244.594672163343,1690.68649840038,270,4541,1122,3419
17,17,8,baseline,Baseline,120.679751680446,385.053120848387,2600.39809573106,93,1971,390,1581
17,17,8,early_mover,Early Mover,112.256824264108,271.836646496397,1889.40576752152,252,3962,1062,2900
17,17,8,sequential,Sequential,109.401165649609,262.677302481828,1830.65214964432,259,3926,1122,2804
17,17,8,coordinated,Coordinated,104.208903622108,267.682003643797,2001.13684058482,180,3425,1087,2338
17,17,8,delayed_coordination,Delayed Coordination,110.727009659199,258.242301529022,1797.38919606101,242,3927,1107,2820
18,18,2,baseline,Baseline,124.535794314008,337.110469732126,2387.17223373132,117,2300,594,1706
18,18,2,early_mover,Early Mover,128.391520570314,236.399629962447,1512.45169337447,304,4925,1091,3834
18,18,2,sequential,Sequential,130.088417284846,227.649301605971,1480.85202578874,313,5077,1157,3920
18,18,2,coordinated,Coordinated,136.621257922054,213.325706196659,1436.89721494777,319,5354,1153,4201
