replication,seed,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
34,34,delayed_coordination,Delayed Coordination,127.901182034766,250.565852632208,1643.52912259674,281,4764,1216,3548
35,35,baseline,Baseline,122.203400557974,317.438713879936,2443.41639706945,125,2358,468,1890
35,35,early_mover,Early Mover,115.79921097368,239.623065940737,1772.31057094365,258,4203,1107,3096
35,35,sequential,Sequential,113.323299066658,233.785882690197,1706.23907204881,271,4334,1128,3206
35,35,coordinated,Coordinated,114.245101512383,241.18511374903,1680.26083587959,272,4443,1194,3249
35,35,delayed_coordination,Delayed Coordination,114.250876758107,237.532714064181,1682.79136241123,258,4363,1138,3225
36,36,baseline,Baseline,123.181266346022,366.845130165577,2422.66650620485,122,2474,503,1971
36,36,early_mover,Early Mover,121.42783059204,266.670324149878,1705.73282346968,275,4406,1218,3188
36,36,sequential,Sequential,118.364351917689,249.895566546648,1651.02590492376,273,4391,1234,3157
36,36,coordinated,Coordinated,114.813338979095,255.925922826244,1689.28181872114,267,4295,1188,3107
36,36,delayed_coordination,Delayed Coordination,118.176270428458,247.128080847031,1614.44883872328,292,4364,1287,3077
37,37,baseline,Baseline,120.995397386235,367.487287669611,2622.66849804464,73,1613,368,1245
37,37,early_mover,Early Mover,117.516855382807,275.443904869321,1946.33542987968,210,3677,968,2709
37,37,sequential,Sequential,115.410818834227,263.222249280135,1879.74183028804,231,3773,1035,2738
37,37,coordinated,Coordinated,116.744726998338,266.253992560534,1905.07836661321,228,3632,990,2642
37,37,delayed_coordination,Delayed Coordination,115.722756959546,268.851777891778,1883.33018653267,229,3738,1021,2717
38,38,baseline,Baseline,127.577206101062,377.630307914947,2433.66280019806,106,2075,698,1377
38,38,early_mover,Early Mover,119.566694187291,304.697612588866,1836.8599741115,212,3420,1203,2217
38,38,sequential,Sequential,120.661834630137,294.007586852754,1738.23570417538,237,3523,1251,2272
38,38,coordinated,Coordinated,119.402228955766,300.463825554451,1786.95600147747,226,3557,1214,2343
38,38,delayed_coordination,Delayed Coordination,121.793700416324,293.520116198464,1719.48065031468,229,3492,1221,2271
39,39,baseline,Baseline,124.09745148445,349.706748933333,2385.84488505604,123,2552,466,2086
39,39,early_mover,Early Mover,119.909524840907,233.170911049493,1643.64385712784,272,4687,1154,3533
39,39,sequential,Sequential,116.322213704427,225.906552974351,1616.97320868304,245,4579,1166,3413
39,39,coordinated,Coordinated,110.575180390509,238.942935561754,1700.12843147033,268,4379,1142,3237
39,39,delayed_coordination,Delayed Coordination,117.960073854653,221.598702585887,1590.82890869075,262,4631,1156,3475
40,40,baseline,Baseline,123.819788928621,360.968161058056,2572.53020639491,95,1878,426,1452
40,40,early_mover,Early Mover,123.558538954213,254.059425718854,1758.80683192076,256,4087,958,3129
40,40,sequential,Sequential,119.501888572982,246.694804838266,1723.36709662898,258,4046,1044,3002
40,40,coordinated,Coordinated,117.25397593932,255.415351632177,1749.78919766207,268,3956,1007,2949
40,40,delayed_coordination,Delayed Coordination,118.667784344548,246.451859214319,1715.92837550753,269,4038,1009,3029
41,41,baseline,Baseline,125.096454364417,367.146473867274,2533.26219593657,102,2101,507,1594
41,41,early_mover,Early Mover,123.693398431525,271.863989755452,1804.42371158643,248,4190,1107,3083
41,41,sequential,Sequential,124.255493192566,266.847385300932,1754.61878242671,251,4140,1123,3017
41,41,coordinated,Coordinated,122.787220216572,263.213099143906,1817.09972701902,226,3994,1085,2909
41,41,delayed_coordination,Delayed Coordination,126.620298027422,254.126049837351,1666.65172719731,237,4241,1094,3147
42,42,baseline,Baseline,127.504293027151,369.163174821464,2425.67829103309,115,2254,671,1583
42,42,early_mover,Early Mover,122.820473982711,253.376209787905,1751.76421075873,253,4137,1200,2937
42,42,sequential,Sequential,115.330968669979,263.746294467847,1816.74701582196,207,3634,1134,2500
42,42,coordinated,Coordinated,116.482259744511,276.406184943323,1870.23689866511,223,3647,1104,2543
42,42,delayed_coordination,Delayed Coordination,115.439342254392,254.931478989715,1814.58243044983,192,3671,1148,2523
43,43,baseline,Baseline,122.103532834207,354.874177332574,2431.87942593581,114,2383,577,1806
43,43,early_mover,Early Mover,119.711034198337,247.214783002907,1649.8527003769,284,4531,1193,3338
43,43,sequential,Sequential,118.713691408208,238.421491821186,1591.78894829012,285,4582,1285,3297
43,43,coordinated,Coordinated,116.872683544186,243.023285015984,1637.37106051674,281,4467,1201,3266
43,43,delayed_coordination,Delayed Coordination,117.154097627006,248.05779400645,1593.59500626329,283,4575,1201,3374
44,44,baseline,Baseline,124.299708475963,360.445373311897,2496.21071910777,108,2074,561,1513
