replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
17,17,0.25,sequential,Sequential,112.826207819046,328.620190760813,2160.8396897992,154,3120,1343,1777
17,17,0.25,coordinated,Coordinated,112.41573087203,326.606297310089,2177.28723165342,152,3104,1353,1751
17,17,0.25,delayed_coordination,Delayed Coordination,112.348601584065,334.421039394446,2180.10632117203,147,3092,1340,1752
17,17,0.5,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,0.5,early_mover,Early Mover,123.604495311814,234.566947493912,1579.22217680913,271,4984,1670,3314
17,17,0.5,sequential,Sequential,123.311443820884,231.199113805173,1521.32863353334,283,5018,1753,3265
17,17,0.5,coordinated,Coordinated,116.235265627053,230.416154975871,1643.84512418143,272,4740,1756,2984
17,17,0.5,delayed_coordination,Delayed Coordination,126.552064100201,226.213532455743,1510.54218270419,289,5094,1727,3367
17,17,0.75,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,0.75,early_mover,Early Mover,118.332981484414,207.323787980411,1503.43870724618,220,4772,1034,3738
17,17,0.75,sequential,Sequential,123.489752597098,192.161359979858,1342.7500020429,285,5243,1107,4136
17,17,0.75,coordinated,Coordinated,117.58975908118,199.315579036542,1430.44410924709,255,5188,1186,4002
17,17,0.75,delayed_coordination,Delayed Coordination,123.300860997751,189.708825602859,1330.49181259854,271,5145,1087,4058
18,18,0.25,baseline,Baseline,126.829570709425,314.750475590682,2231.01294029534,140,3103,974,2129
18,18,0.25,early_mover,Early Mover,115.31955377277,304.165390149462,2114.61499074812,167,3477,1349,2128
18,18,0.25,sequential,Sequential,114.551350718491,299.469169484109,2094.91515721832,166,3423,1341,2082
18,18,0.25,coordinated,Coordinated,113.888669166254,298.882025838612,2074.20312626618,175,3543,1313,2230
