replication,seed,policy_penalty,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
5,5,0.75,early_mover,sequential,7.40413932564653,1.45920835438145,36.7357273303703,87
5,5,0.75,early_mover,coordinated,6.30621489010863,10.2161578909976,33.411223456641,66
5,5,0.75,early_mover,delayed_coordination,3.90741788742507,7.40195881484763,57.4844767093641,-64
5,5,0.75,sequential,coordinated,-1.09792443553789,8.7569495366161,-3.32450387372933,-21
5,5,0.75,sequential,delayed_coordination,-3.49672143822146,5.94275046046619,20.7487493789938,-151
5,5,0.75,coordinated,delayed_coordination,-2.39879700268357,-2.81419907614992,24.0732532527231,-130
6,6,0.25,early_mover,sequential,3.09733462165234,-4.67158486197241,-8.45540541800028,71
6,6,0.25,early_mover,coordinated,-1.03008102939795,7.77642224398602,72.8563948388501,-300
6,6,0.25,early_mover,delayed_coordination,2.66442563580895,-4.73174042750048,-10.0068511432464,54
6,6,0.25,sequential,coordinated,-4.12741565105028,12.4480071059584,81.3118002568503,-371
6,6,0.25,sequential,delayed_coordination,-0.432908985843383,-0.0601555655280777,-1.55144572524614,-17
6,6,0.25,coordinated,delayed_coordination,3.6945066652069,-12.5081626714865,-82.8632459820965,354
6,6,0.5,early_mover,sequential,2.00380867975363,6.70930466227162,20.8808150843788,11
6,6,0.5,early_mover,coordinated,5.4042790212784,-2.25665329914784,-6.45357752206542,124
6,6,0.5,early_mover,delayed_coordination,2.34162700692877,7.37248169135481,10.3841654987368,69
6,6,0.5,sequential,coordinated,3.40047034152477,-8.96595796141946,-27.3343926064442,113
6,6,0.5,sequential,delayed_coordination,0.337818327175142,0.663177029083187,-10.496649585642,58
6,6,0.5,coordinated,delayed_coordination,-3.06265201434962,9.62913499050265,16.8377430208022,-55
6,6,0.75,early_mover,sequential,7.68624222725228,4.07399632584517,37.7400560151673,233
6,6,0.75,early_mover,coordinated,11.687036620702,3.76972420020832,-96.8662536772094,425
6,6,0.75,early_mover,delayed_coordination,1.245224720561,16.2795950503565,88.592445280575,28
6,6,0.75,sequential,coordinated,4.00079439344975,-0.304272125636857,-134.606309692377,192
6,6,0.75,sequential,delayed_coordination,-6.44101750669128,12.2055987245113,50.8523892654077,-205
6,6,0.75,coordinated,delayed_coordination,-10.441811900141,12.5098708501482,185.458698957784,-397
7,7,0.25,early_mover,sequential,0.585986485209872,4.14750255177535,27.1629089519138,-58
7,7,0.25,early_mover,coordinated,0.411989843447827,8.56795878574206,38.4233933374135,-158
7,7,0.25,early_mover,delayed_coordination,0.832874979759325,5.29638190125337,53.9675762801016,-85
