replication,seed,recoveryHorizon,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
40,40,5,early_mover,Early Mover,127.396111953309,225.753670187748,1608.50097404808,262,4795,1647,3148
40,40,5,sequential,Sequential,122.142603937297,223.037297390459,1619.24471458536,260,4753,1652,3101
40,40,5,coordinated,Coordinated,120.559023816174,235.893210645711,1656.28540395324,258,4783,1579,3204
40,40,5,delayed_coordination,Delayed Coordination,122.8514857642,223.405910243575,1598.0343645603,279,4829,1663,3166
40,40,7,baseline,Baseline,127.857091279177,332.02231018741,2377.64226111754,105,2618,976,1642
40,40,7,early_mover,Early Mover,126.082833611542,245.298514947289,1679.10060398707,253,4622,1640,2982
40,40,7,sequential,Sequential,122.839121722556,229.361886124402,1621.91888645848,286,4733,1657,3076
40,40,7,coordinated,Coordinated,122.292251476585,239.042446235216,1637.71238415693,279,4585,1576,3009
40,40,7,delayed_coordination,Delayed Coordination,122.544743529672,241.736590542946,1643.59432619792,262,4694,1604,3090
41,41,3,baseline,Baseline,129.033392804499,343.84024522356,2333.1194644813,106,2748,1065,1683
41,41,3,early_mover,Early Mover,126.757204661115,256.470167893512,1662.17151668895,245,4900,1823,3077
41,41,3,sequential,Sequential,126.341828134886,246.469015559929,1634.2860547566,253,4914,1810,3104
41,41,3,coordinated,Coordinated,124.269195593856,262.90453598251,1682.08390031513,256,4774,1775,2999
41,41,3,delayed_coordination,Delayed Coordination,126.103471463574,247.157365229067,1609.11366083465,263,5021,1843,3178
41,41,5,baseline,Baseline,129.298326696879,344.430226328921,2329.46782543302,109,2746,1073,1673
41,41,5,early_mover,Early Mover,129.202228352317,259.702479508802,1606.28308911449,270,5047,1743,3304
41,41,5,sequential,Sequential,126.15143749345,259.14313035967,1626.40496088589,263,4909,1732,3177
41,41,5,coordinated,Coordinated,124.166751886429,259.623570406531,1680.25452590371,246,4764,1804,2960
41,41,5,delayed_coordination,Delayed Coordination,125.65271650346,258.57686595358,1610.96646320206,264,4939,1730,3209
41,41,7,baseline,Baseline,128.769327738824,345.526886313383,2334.3690053296,107,2729,1059,1670
41,41,7,early_mover,Early Mover,128.996160359589,255.453206882158,1604.66957258797,283,5051,1827,3224
41,41,7,sequential,Sequential,126.823918863983,242.532951105186,1583.52019020645,269,4951,1814,3137
41,41,7,coordinated,Coordinated,127.897943003871,242.832912842022,1571.12584103888,281,4973,1744,3229
41,41,7,delayed_coordination,Delayed Coordination,126.924975303055,248.425474741395,1576.98286797861,276,5046,1811,3235
42,42,3,baseline,Baseline,128.267818144732,341.01496731769,2336.31063041507,109,2749,1068,1681
42,42,3,early_mover,Early Mover,128.987668692378,254.573831714018,1654.04061360045,278,5150,1675,3475
42,42,3,sequential,Sequential,129.328318719806,229.818005487326,1573.95972049851,286,5148,1796,3352
42,42,3,coordinated,Coordinated,128.610142376127,225.403399107672,1574.51545803952,282,5227,1801,3426
42,42,3,delayed_coordination,Delayed Coordination,129.369915780137,240.837808061079,1575.83065688512,281,5218,1740,3478
42,42,5,baseline,Baseline,129.01617088731,340.068294606446,2289.11335323437,125,2871,1125,1746
42,42,5,early_mover,Early Mover,131.044388117767,248.528260355926,1595.36704312235,277,5303,1694,3609
42,42,5,sequential,Sequential,127.879967594918,243.366355798483,1573.91306066916,284,5268,1715,3553
42,42,5,coordinated,Coordinated,127.502171174613,249.447418921059,1622.87282462919,281,5179,1728,3451
42,42,5,delayed_coordination,Delayed Coordination,129.726214881408,229.014433113698,1544.61252871827,297,5321,1741,3580
42,42,7,baseline,Baseline,129.343757058085,342.064922653543,2282.18594413285,124,2838,1129,1709
42,42,7,early_mover,Early Mover,131.335719799744,240.85077989147,1596.7296339814,279,5199,1620,3579
42,42,7,sequential,Sequential,131.241197571383,233.529402511159,1536.37733964206,300,5247,1663,3584
42,42,7,coordinated,Coordinated,128.124899837061,237.398278978548,1584.3002482609,287,5006,1727,3279
42,42,7,delayed_coordination,Delayed Coordination,130.681548011017,234.067781370675,1544.66987105204,290,5262,1687,3575
43,43,3,baseline,Baseline,127.015368980767,314.289066688087,2261.23161106372,138,3241,1166,2075
43,43,3,early_mover,Early Mover,121.914528944016,223.321105608732,1642.37173689975,241,5054,1898,3156
43,43,3,sequential,Sequential,120.731122108661,208.973657742402,1581.79094622355,262,5102,1925,3177
43,43,3,coordinated,Coordinated,119.126499251112,215.472326355808,1595.13958086231,250,5157,1859,3298
43,43,3,delayed_coordination,Delayed Coordination,118.646812644115,212.389108762035,1614.9530450376,260,5102,1898,3204
43,43,5,baseline,Baseline,125.702824557686,321.412539660739,2278.13675637786,133,3136,1126,2010
43,43,5,early_mover,Early Mover,119.811126789114,239.806696461249,1624.75970605691,266,5091,1697,3394
43,43,5,sequential,Sequential,120.279525427139,216.711247778695,1547.10867567207,291,5278,1834,3444
43,43,5,coordinated,Coordinated,117.247021707444,228.243809118746,1618.73062419814,270,5167,1807,3360
43,43,5,delayed_coordination,Delayed Coordination,121.652743640495,220.441203173191,1535.7325772483,296,5286,1804,3482
43,43,7,baseline,Baseline,127.316687978781,317.747822595408,2242.8834948219,142,3228,1120,2108
43,43,7,early_mover,Early Mover,119.971861198781,228.754190959173,1639.75145031842,261,5061,1728,3333
43,43,7,sequential,Sequential,121.430298604278,217.305295058771,1549.1651074555,273,5226,1849,3377
43,43,7,coordinated,Coordinated,119.97779105321,224.47452713414,1574.60460259691,270,5091,1794,3297
43,43,7,delayed_coordination,Delayed Coordination,121.263066855215,216.90283838448,1562.85342741836,281,5222,1828,3394
44,44,3,baseline,Baseline,125.880482161369,359.030885539528,2366.51080571399,100,2665,1084,1581
44,44,3,early_mover,Early Mover,117.665955624078,246.840387669325,1852.18852216458,200,4055,1633,2422
44,44,3,sequential,Sequential,115.102644415034,250.263539375926,1804.52364374111,227,4235,1673,2562
44,44,3,coordinated,Coordinated,109.016924792299,259.16749809653,1879.55556574834,229,4120,1550,2570
44,44,3,delayed_coordination,Delayed Coordination,116.65678060936,244.805577019199,1756.62179193676,220,4254,1716,2538
44,44,5,baseline,Baseline,126.98630722553,353.84992670354,2347.72602891548,109,2643,1126,1517
44,44,5,early_mover,Early Mover,120.687847754822,240.450140161878,1726.83786702403,246,4563,1547,3016
44,44,5,sequential,Sequential,117.204861679813,237.746675432423,1681.65018483937,269,4653,1625,3028
44,44,5,coordinated,Coordinated,112.085154250367,288.669538039879,1901.75095353901,203,3951,1574,2377
44,44,5,delayed_coordination,Delayed Coordination,117.272353832612,240.419950265958,1672.73031605735,266,4663,1648,3015
44,44,7,baseline,Baseline,125.87876713847,353.171372898438,2370.21290383224,123,2634,1079,1555
44,44,7,early_mover,Early Mover,116.845314104909,262.265049144295,1831.46768191,215,4042,1449,2593
44,44,7,sequential,Sequential,111.208926698592,256.660757649743,1784.18259245445,231,4023,1506,2517
44,44,7,coordinated,Coordinated,112.522937668839,270.013924613632,1813.49321018156,225,4147,1488,2659
44,44,7,delayed_coordination,Delayed Coordination,112.78875602296,260.840107615381,1791.22995641506,223,4061,1496,2565
45,45,3,baseline,Baseline,126.486332829028,339.62697514783,2383.92255796539,98,2603,1033,1570
