replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
4,4,7,early_mover,coordinated,5.17815119010051,3.0722200322229,-47.1069976916108,153
4,4,7,early_mover,delayed_coordination,1.83918777419677,12.1197562725644,54.4787750167729,-22
4,4,7,sequential,coordinated,2.91996412018563,-3.75112616073503,-87.9297744407149,139
4,4,7,sequential,delayed_coordination,-0.418999295718109,5.29641007960649,13.6559982676688,-36
4,4,7,coordinated,delayed_coordination,-3.33896341590373,9.04753624034151,101.585772708384,-175
5,5,3,early_mover,sequential,-0.669851224012831,20.8446301327828,84.6611830008787,-252
5,5,3,early_mover,coordinated,-2.23270780482733,13.7486497902868,97.5708599030315,-214
5,5,3,early_mover,delayed_coordination,-0.0517193153785769,20.5147064122087,76.9729568061007,-174
5,5,3,sequential,coordinated,-1.5628565808145,-7.09598034249595,12.9096769021528,38
5,5,3,sequential,delayed_coordination,0.618131908634254,-0.329923720574072,-7.68822619477805,78
5,5,3,coordinated,delayed_coordination,2.18098848944875,6.76605662192188,-20.5979030969308,40
5,5,5,early_mover,sequential,0.753209292594633,12.4137779621535,71.5833275706702,-152
5,5,5,early_mover,coordinated,6.64072799495315,1.78946494289065,-53.2793949540721,281
5,5,5,early_mover,delayed_coordination,-0.108924104211951,11.7052804369325,66.3354549252142,-135
5,5,5,sequential,coordinated,5.88751870235852,-10.6243130192629,-124.862722524742,433
5,5,5,sequential,delayed_coordination,-0.862133396806584,-0.708497525220992,-5.24787264545603,17
5,5,5,coordinated,delayed_coordination,-6.7496520991651,9.91581549404188,119.614849879286,-416
5,5,7,early_mover,sequential,3.52502978809059,1.15777689507212,1.09610680864216,-48
5,5,7,early_mover,coordinated,1.36134392666337,1.73734221927975,-6.72162873216939,8
5,5,7,early_mover,delayed_coordination,1.28516878546365,14.0997858093126,40.4826879304517,-98
5,5,7,sequential,coordinated,-2.16368586142723,0.579565324207636,-7.81773554081155,56
5,5,7,sequential,delayed_coordination,-2.23986100262694,12.9420089142404,39.3865811218095,-50
5,5,7,coordinated,delayed_coordination,-0.0761751411997125,12.3624435900328,47.2043166626211,-106
6,6,3,early_mover,sequential,6.22649281645296,-7.78800485336578,-3.81738478937109,148
6,6,3,early_mover,coordinated,4.03308472271546,-10.8888824838904,-22.879894498258,14
6,6,3,early_mover,delayed_coordination,2.95018271066971,2.82101791715417,8.03844768478643,54
6,6,3,sequential,coordinated,-2.1934080937375,-3.10087763052465,-19.0625097088869,-134
6,6,3,sequential,delayed_coordination,-3.27631010578325,10.6090227705199,11.8558324741575,-94
6,6,3,coordinated,delayed_coordination,-1.08290201204575,13.7099004010446,30.9183421830444,40
6,6,5,early_mover,sequential,3.94545254498605,13.0573923550571,54.823854397996,-1
6,6,5,early_mover,coordinated,11.7565580474332,-19.2607885891827,-106.675058830897,235
6,6,5,early_mover,delayed_coordination,3.90570399048846,4.63953192222411,21.0170144994975,3
6,6,5,sequential,coordinated,7.81110550244712,-32.3181809442398,-161.498913228893,236
6,6,5,sequential,delayed_coordination,-0.0397485544975922,-8.41786043283298,-33.8068398984985,4
6,6,5,coordinated,delayed_coordination,-7.85085405694471,23.9003205114068,127.692073330394,-232
6,6,7,early_mover,sequential,2.55305746039757,8.68683890807512,52.4329109867895,-19
6,6,7,early_mover,coordinated,6.49951577658058,-9.86277829741226,-11.546405729456,27
6,6,7,early_mover,delayed_coordination,3.52757463245882,-1.79115454599196,44.1591483995924,17
6,6,7,sequential,coordinated,3.94645831618301,-18.5496172054874,-63.9793167162454,46
6,6,7,sequential,delayed_coordination,0.974517172061255,-10.4779934540671,-8.2737625871971,36
6,6,7,coordinated,delayed_coordination,-2.97194114412176,8.0716237514203,55.7055541290483,-10
7,7,3,early_mover,sequential,-1.06484294937982,2.72785943916844,110.475970632089,-104
7,7,3,early_mover,coordinated,8.41597659870529,-10.5761743832797,-43.0049108453725,593
7,7,3,early_mover,delayed_coordination,2.29826724854888,11.8060419951663,94.1159806164183,-56
7,7,3,sequential,coordinated,9.48081954808511,-13.3040338224482,-153.480881477462,697
7,7,3,sequential,delayed_coordination,3.36311019792871,9.0781825559979,-16.3599900156712,48
7,7,3,coordinated,delayed_coordination,-6.1177093501564,22.3822163784461,137.120891461791,-649
7,7,5,early_mover,sequential,2.80519226802252,9.69563521230504,57.9558820428645,16
7,7,5,early_mover,coordinated,3.37925652268015,7.60570651927901,56.2827241877087,15
7,7,5,early_mover,delayed_coordination,3.86478239402786,2.95535791462575,41.4238625424155,-1
7,7,5,sequential,coordinated,0.574064254657628,-2.08992869302602,-1.67315785515575,-1
7,7,5,sequential,delayed_coordination,1.05959012600533,-6.74027729767928,-16.532019500449,-17
7,7,5,coordinated,delayed_coordination,0.485525871347704,-4.65034860465326,-14.8588616452932,-16
7,7,7,early_mover,sequential,2.39512702340122,11.2877372467083,84.404579545467,-133
7,7,7,early_mover,coordinated,5.72319822084484,6.06366847678981,3.71381708351396,69
7,7,7,early_mover,delayed_coordination,3.42248639445771,5.72046808793098,40.6731699294473,-17
7,7,7,sequential,coordinated,3.32807119744362,-5.22406876991849,-80.690762461953,202
7,7,7,sequential,delayed_coordination,1.02735937105649,-5.56726915877732,-43.7314096160196,116
7,7,7,coordinated,delayed_coordination,-2.30071182638713,-0.343200388858833,36.9593528459334,-86
8,8,3,early_mover,sequential,6.47732610521359,-5.84014833999476,-38.5677911319631,361
8,8,3,early_mover,coordinated,-3.41986311563207,6.05546838554346,95.8197721416907,-340
8,8,3,early_mover,delayed_coordination,3.77218867811624,-0.976077718339525,-11.0445300143474,139
8,8,3,sequential,coordinated,-9.89718922084566,11.8956167255382,134.387563273654,-701
8,8,3,sequential,delayed_coordination,-2.70513742709736,4.86407062165523,27.5232611176157,-222
8,8,3,coordinated,delayed_coordination,7.19205179374831,-7.03154610388299,-106.864302156038,479
8,8,5,early_mover,sequential,2.58616701228178,2.12954794651887,28.9928097785039,47
8,8,5,early_mover,coordinated,2.29669454997472,10.7165758124447,48.4968133549173,78
8,8,5,early_mover,delayed_coordination,2.52384259899003,4.78434451877084,28.6962747619309,-20
8,8,5,sequential,coordinated,-0.28947246230706,8.58702786592579,19.5040035764134,31
8,8,5,sequential,delayed_coordination,-0.0623244132917478,2.65479657225197,-0.296535016572989,-67
8,8,5,coordinated,delayed_coordination,0.227148049015312,-5.93223129367382,-19.8005385929864,-98
8,8,7,early_mover,sequential,1.36408756924132,10.4633576792508,58.7567182408093,-75
8,8,7,early_mover,coordinated,2.85643735334835,9.29356403556707,34.8232682096543,10
8,8,7,early_mover,delayed_coordination,2.09039313671468,5.41447927014661,43.2829965852243,73
8,8,7,sequential,coordinated,1.49234978410703,-1.1697936436837,-23.933450031155,85
8,8,7,sequential,delayed_coordination,0.726305567473361,-5.04887840910416,-15.473721655585,148
8,8,7,coordinated,delayed_coordination,-0.766044216633674,-3.87908476542046,8.45972837556997,63
9,9,3,early_mover,sequential,2.4065866512254,11.7557801457212,46.5367365175503,70
9,9,3,early_mover,coordinated,5.05192417415657,-8.05589920555346,-64.5470313036267,318
9,9,3,early_mover,delayed_coordination,3.73352117513019,15.309528251005,10.6992811332007,-13
9,9,3,sequential,coordinated,2.64533752293117,-19.8116793512747,-111.083767821177,248
9,9,3,sequential,delayed_coordination,1.3269345239048,3.5537481052838,-35.8374553843496,-83
9,9,3,coordinated,delayed_coordination,-1.31840299902638,23.3654274565585,75.2463124368273,-331
9,9,5,early_mover,sequential,4.0437974455085,2.42049001451346,29.434771510045,54
9,9,5,early_mover,coordinated,8.19546999678199,-13.3641389338323,-53.4781870890147,109
9,9,5,early_mover,delayed_coordination,5.4626030704181,-4.72129151763411,5.47850552859859,117
9,9,5,sequential,coordinated,4.15167255127349,-15.7846289483457,-82.9129585990597,55
